MonthAndYear,date,Open,High,Low,Close,Adj Close,Volume
19-Jun,2019-06-01,50.7925,55.342499,49.602501,53.26,52.020744,1895406800
19-Jul,2019-07-01,53.474998,54.5075,48.145,52.19,50.970757,2724326400
19-Aug,2019-08-01,51.607498,56.605,51.055,55.99,54.897453,2170268400
19-Sep,2019-09-01,56.267502,62.4375,53.782501,62.19,60.973743,2433210800
19-Oct,2019-10-01,62.384998,67,62.290001,66.81,65.505836,1793326000
20-Jun,2020-06-01,91.279999,106.415001,89.144997,106.26,105.886086,3020496000
20-Jul,2020-07-01,108.199997,131,107.892502,129.04,128.585907,4070623100
20-Aug,2020-08-01,132.759995,137.979996,103.099998,115.81,115.610542,3885767100
20-Sep,2020-09-01,117.639999,125.389999,107.720001,108.86,108.672516,2895016800
20-Oct,2020-10-01,109.110001,121.989998,107.32,119.05,118.844963,2122864400
