Month,Date2019,Open2019,High2019,Low2019,Close2019,AdjClose2019,Volume2019,Date2020,Open2020,High2020,Low2020,Close2020,AdjClose2020,Volume2020
Jun,30-Jun-19,50.7925,55.342499,49.602501,53.259998,52.020744,1895406800,30-Jun-20,91.279999,106.415001,89.144997,106.260002,105.886086,3020496000
Jul,31-Jul-19,53.474998,54.5075,48.145,52.185001,50.970757,2724326400,31-Jul-20,108.199997,131,107.892502,129.039993,128.585907,4070623100
Aug,31-Aug-19,51.607498,56.605,51.055,55.9925,54.897453,2170268400,31-Aug-20,132.759995,137.979996,103.099998,115.809998,115.610542,3885767100
Sep,30-Sep-19,56.267502,62.4375,53.782501,62.189999,60.973743,2433210800,30-Sep-20,117.639999,125.389999,107.720001,108.860001,108.672516,2895016800
Oct,31-Oct-19,62.384998,67,62.290001,66.8125,65.505836,1793326000,31-Oct-20,109.110001,121.989998,107.32,119.050003,118.844963,2122864400
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
