stock,date,Open,High,Low,Close,Adj Close,Volume
Apple,2020-06-01,91.279999,106.415001,89.144997,106.26,105.886086,3020496000
Apple,2020-07-01,108.199997,131,107.892502,129.04,128.585907,4070623100
Apple,2020-08-01,132.759995,137.979996,103.099998,115.81,115.610542,3885767100
Apple,2020-09-01,117.639999,125.389999,107.720001,108.86,108.672516,2895016800
Apple,2020-10-01,109.110001,121.989998,107.32,119.05,118.844963,2122864400
NASDAQ,2020-06-01,10141,11058.5,10076,10890.50,10890.5,15117876
NASDAQ,2020-07-01,10933.25,12165,10845.5,12114.00,12114,177950188
NASDAQ,2020-08-01,12109.79981,12465.2002,10656.5,11407.20,11407.2002,13175609
NASDAQ,2020-09-01,11375,12249,10944.5,11046.20,11046.2002,13198308
NASDAQ,2020-10-01,11034.5,12408.79981,10942.2002,12277.00,12277,10330603
SP500,2020-06-01,3105.919922,3279.98999,3101.169922,3271.12,3271.120117,97197020000
SP500,2020-07-01,3288.26001,3514.77002,3284.530029,3500.31,3500.310059,84402300000
SP500,2020-08-01,3507.439941,3588.110107,3209.449951,3363.00,3363,92084120000
SP500,2020-09-01,3385.870117,3549.850098,3233.939941,3269.96,3269.959961,89737600000
SP500,2020-10-01,3296.199951,3645.98999,3279.73999,3621.63,3621.629883,1.00978E+11
