date,Open,High,Low,Close,Adj Close,Volume
2019-06-01,7781.5,8051.75,7743,7866.75,7866.75,7912845
2019-07-01,7834,8014.5,7224.5,7690.75,7690.75,13364228
2019-08-01,7628.25,7982.75,7580.75,7781.50,7781.50,2917502888
2019-09-01,7784,8141,7474.25,8090.25,8090.25,11461523
2019-10-01,8094.25,8458.75,8084.5,8417.50,8417.50,18802525
2020-06-01,10141,11058.5,10076,10890.50,10890.50,15117876
2020-07-01,10933.25,12165,10845.5,12114.00,12114.00,177950188
2020-08-01,12109.79981,12465.2002,10656.5,11407.20,11407.20,13175609
2020-09-01,11375,12249,10944.5,11046.20,11046.20,13198308
2020-10-01,11034.5,12408.79981,10942.2002,12277.00,12277.00,10330603
