MonthAndYear,date,Open,High,Low,Close,Adj Close,Volume
19-Jun,2019-06-01,2971.409912,3027.97998,2952.219971,2980.38,2980.379883,70349470000
19-Jul,2019-07-01,2980.320068,3013.590088,2822.120117,2926.46,2926.459961,79599440000
19-Aug,2019-08-01,2909.01001,3021.98999,2891.850098,2976.74,2976.73999,73992330000
19-Sep,2019-09-01,2983.689941,3050.100098,2855.939941,3037.56,3037.560059,77564550000
19-Oct,2019-10-01,3050.719971,3154.26001,3050.719971,3140.98,3140.97998,72179920000
20-Jun,2020-06-01,3105.919922,3279.98999,3101.169922,3271.12,3271.120117,97197020000
20-Jul,2020-07-01,3288.26001,3514.77002,3284.530029,3500.31,3500.310059,84402300000
20-Aug,2020-08-01,3507.439941,3588.110107,3209.449951,3363.00,3363,92084120000
20-Sep,2020-09-01,3385.870117,3549.850098,3233.939941,3269.96,3269.959961,89737600000
20-Oct,2020-10-01,3296.199951,3645.98999,3279.73999,3621.63,3621.629883,1.00978E+11
